,hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,reviewer_nationality,negative_review,review_total_negative_word_counts,total_number_of_reviews,positive_review,review_total_positive_word_counts,total_number_of_reviews_reviewer_has_given,reviewer_score,tags,days_since_review,lat,lng,reviewer_region
24592,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,7/16/2017,8.0,Doubletree by Hilton London Kensington,Australia,Air conditioning was a complete failure We had to move twice Room 112 it wouldn t get below 24 next room 412 it didn t work at all finally 224 it worked As hotel was fully booked first night of our 3 night stay we were give a noisy cheap fan which rattled away Even the tap water was warm I tried to call their Customer care line but no one answered it After moving ourselves we got no acknowledgement of our troubles not even a drink voucher One staff member told me it was an old building and wasn t coping I heard this at breakfast and the cab driver said he hears that complaint a lot Don t stay here if it s hot They are also renovating and all our 3 Rooms had scaffolding in front of the windows Wouldn t you give customers an upgrade after what they went through Once settled in room 224 was good but faced inwards so was dark,169,2367,Location was very good near museums tube and shops bike hire right out the front so getting around was fun and quick Lobby was great comfortable seating TV with tennis on and attentive bar and restaurant staff Buffet breakfast good and was included in price Free newspapers in lobby not all but set thing to read was good,60,29,6.5,"[' Leisure trip ', ' Couple ', ' King Deluxe Family Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",18 days,51.4925138,-0.17879170000000003,Oceania
24607,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,6/6/2017,8.0,Doubletree by Hilton London Kensington,United States of America,No,2,2367,Excellent location only 6 minutes walk to south Kensington tube station On Tube stop to the Harrods Department Store staffs are nice and helpful,26,18,10.0,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",58 days,51.4925138,-0.17879170000000003,North America
24612,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,5/31/2017,8.0,Doubletree by Hilton London Kensington,United States of America,sink water was scolding hot on the coldest setting and burned my fiance We informed the front desk while sleeping we received a call at 11 30 pm from the front desk in regards to a food order We didn t order anything and they acknowledged it was a mistake Very frustrating since we were jet lagged and needed to wake up early for a wedding same thing We received a knock on the door at 8 45 a m which woke us up It was a service person and they had the wrong room Argh construction every morning and all day at the hotel The drilling woke us up in the morning the day after we got in It was so loud that we had to leave the hotel for the day immediately We should have been notified that construction was going on and received a discount when we booked this place Very misleading The staff needs to be more organized and careful These mistakes are EASILY avoidable,171,2367,Location,2,1,7.5,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",64 days,51.4925138,-0.17879170000000003,North America
24619,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,5/8/2017,8.0,Doubletree by Hilton London Kensington,United States of America,One night the room was not cleaned at all I found the cleaners and got towels and told them to forget about it Another night we returned at about 4 and the room still was not made up we left about 5 when someone came The stairs on the hall would have been difficult to negotiate if someone was a little disabled The TV control did not work and was changed but would be nice if this stuff was checked periodically,83,2367,The breakfast was nice The room was a little small but for the price it was ok,19,3,7.1,"[' Leisure trip ', ' Couple ', ' Twin Guest Room ', ' Stayed 5 nights ']",87 days,51.4925138,-0.17879170000000003,North America
24620,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,5/7/2017,8.0,Doubletree by Hilton London Kensington,Australia,Renovations occuring which are were not mentioned on any website Despite hotel not being full I was still given a room for 5 days on first floor directly above where workmen were unloading throwing away cement etc very loud,41,2367,The location of this hotel is excellent easy walking distance to museums hyde park tube station and good local restaurants Staff very friendly,24,20,7.9,"[' Leisure trip ', ' Solo traveler ', ' Queen Guest Room ', ' Stayed 5 nights ']",88 days,51.4925138,-0.17879170000000003,Oceania
24635,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,4/7/2017,8.0,Doubletree by Hilton London Kensington,Canada,I booked the room on Booking com for 296 a night and thought I was getting a deal I paid for an additional night and it cost 200CDN Feeling a bit ripped off,35,2367,Close and convenient for the train and travel,10,1,6.7,"[' Leisure trip ', ' Solo traveler ', ' Queen Superior Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",118 day,51.4925138,-0.17879170000000003,North America
24644,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,3/9/2017,8.0,Doubletree by Hilton London Kensington,United States of America,Insecure Internet no password protection,7,2367,Very convenient to Underground s Piccadilly line which runs to Heathrow Also 2 other lines operate from the South Kensington station making easy to get around Good breakfast selection pleasant helpful staff hotel has been refurbished Walking distance to Hyde Park shops restaurants,45,31,9.6,"[' Leisure trip ', ' Solo traveler ', ' Queen Guest Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",147 day,51.4925138,-0.17879170000000003,North America
24656,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,2/10/2017,8.0,Doubletree by Hilton London Kensington,Australia,My room however was pokey with a slight smell a view of pipes and there were a number of faults that required fixing,25,2367,Staff were welcoming and friendly and the location is excellent There is a nice entrance with a lounge and open fire,23,13,6.7,"[' Business trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 2 nights ']",174 day,51.4925138,-0.17879170000000003,Oceania
24699,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,9/27/2016,8.0,Doubletree by Hilton London Kensington,United States of America,Again it s a great bargain it IS London after all with few if any faults,18,2367,The staff are very friendly and helpful Best of all the hotel is a great bargain for a perfect location offering easy access to all forms of transit etc Eateries abound nearby and are varied and most affordable Our 4th stay and we ll be back,48,3,9.6,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 4 nights ']",310 day,51.4925138,-0.17879170000000003,North America
24701,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,9/21/2016,8.0,Doubletree by Hilton London Kensington,United States of America,No Negative,0,2367,The staff were so friendly helpful Alex Iriine helped us negotiate cabs directions tours The bar dining room staff were delightful the food drinks delicious,27,2,10.0,"[' Leisure trip ', ' Group ', ' Club Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",316 day,51.4925138,-0.17879170000000003,North America
